time_hr,rainfall_increment_in,DWF_MGD,RDII_short_MGD,RDII_medium_MGD,RDII_long_MGD,RDII_total_MGD,total_flow_MGD,one_pump_required_storage_gal,one_pump_actual_storage_gal,two_pump_firm_required_storage_gal,derated_one_pump_required_storage_gal,derated_one_pump_actual_storage_gal
2.75,0.225,0.7247252747252748,1.1574242742857144,0.14663314285714288,0.02085449142857143,1.3249119085714287,2.0496371832967037,0.0,0.0,0.0,0.0,0.0
3.0,0.2,0.7247252747252748,1.4285326628571429,0.1922523428571429,0.027342555428571433,1.6481275611428572,2.372852835868132,0.0,0.0,0.0,0.0,0.0
3.25,0.2,0.7247252747252748,1.647504822857143,0.24438857142857143,0.03475748571428571,1.92665088,2.6513761547252748,0.0,0.0,0.0,0.0,0.0
3.5,0.2,0.7247252747252748,1.8143407542857146,0.3030418285714286,0.04309928228571429,2.1604818651428577,2.8852071398681325,0.0,0.0,0.0,0.0,0.0
3.75,0.2,0.7247252747252748,1.9290404571428574,0.3682121142857143,0.05236794514285715,2.3496205165714286,3.0743457912967034,0.0,0.0,0.0,0.0,0.0
4.0,0.15,0.7774725274725275,1.9916039314285714,0.4398994285714285,0.0625634742857143,2.4940668342857144,3.271539361758242,0.0,0.0,0.0,0.0,0.0
4.25,0.15,0.7774725274725275,2.012458422857143,0.5153883428571429,0.07345415314285715,2.6013009188571434,3.378773446329671,0.0,0.0,0.0,951.733375457884,951.733375457884
4.5,0.15,0.7774725274725275,1.9916039314285714,0.5946788571428573,0.08503998171428571,2.6713227702857143,3.4487952977582417,0.0,0.0,0.0,2826.6747509157676,2826.6747509157676
4.75,0.15,0.7774725274725275,1.9290404571428574,0.6777709714285715,0.09732096,2.704132388571429,3.481604916043956,0.0,0.0,0.0,5237.196697802219,5237.196697802219
5.0,0.1,0.9884615384615384,1.824768,0.7646646857142857,0.11029708800000002,2.699729773714286,3.6881913121758245,0.0,0.0,0.0,8894.572886446911,8894.572886446911
5.25,0.1,0.9884615384615384,1.7152819199999998,0.8504722285714288,0.12373664914285715,2.6894907977142855,3.677952336175824,0.0,0.0,0.0,13574.591888278414,13574.591888278414
5.5,0.1,0.9884615384615384,1.6005822171428572,0.9351936000000003,0.13763964342857143,2.673415460571429,3.6618769990329674,0.0,0.0,0.0,18117.5571758242,18117.5571758242
5.75,0.1,0.9884615384615384,1.4806688914285713,1.0188288000000003,0.15200607085714282,2.651503762285714,3.6399653007472526,0.0,0.0,0.0,22462.673320512848,22462.673320512848
6.0,0.0,1.304945054945055,1.355541942857143,1.1013778285714286,0.16683593142857145,2.623755702857143,3.928700757802198,0.0,0.0,0.0,28197.496542124576,28197.496542124576
6.25,0.0,1.304945054945055,1.2095605028571428,1.1741513142857145,0.181665792,2.5653776091428573,3.8703226640879125,0.0,0.0,0.0,35132.09769780224,35132.09769780224
6.5,0.0,1.304945054945055,1.0427245714285716,1.2371492571428568,0.1964956525714286,2.476369481142857,3.781314536087912,0.0,0.0,0.0,41299.06228205132,41299.06228205132
6.75,0.0,1.304945054945055,0.8550341485714286,1.2903716571428574,0.21132551314285716,2.3567313188571433,3.661676373802198,0.0,0.0,0.0,46379.327437728985,45000
7.0,0.0,1.5686813186813187,0.6464892342857144,1.3338185142857144,0.22615537371428573,2.2064631222857143,3.7751444409670327,0.0,0.0,0.0,51427.45668131873,45000
7.25,0.0,1.5686813186813187,0.46922605714285726,1.3685759999999998,0.24098523428571428,2.0787872914285717,3.6474686101098905,0.0,0.0,0.0,56401.5871556777,45000
7.5,0.0,1.5686813186813187,0.3232446171428572,1.394644114285714,0.2558150948571429,1.9737038262857143,3.542385144967033,0.0,0.0,0.0,60163.42963003667,45000
7.75,0.0,1.5686813186813187,0.20854491428571428,1.412022857142857,0.2706449554285714,1.8912127268571428,3.4598940455384612,0.0,0.0,0.0,62948.32124725278,45000
8.0,0.0,1.6741758241758242,0.12512694857142856,1.4207122285714284,0.2854748159999999,1.8313139931428568,3.505489817318681,0.0,0.0,0.0,65541.04969963373,45000
8.25,0.0,1.6741758241758242,0.06256347428571428,1.4228845714285712,0.3003046765714286,1.785752722285714,3.459928546461538,0.0,0.0,0.0,68133.95784432237,45000
8.5,0.0,1.6741758241758242,0.02085449142857143,1.4185398857142855,0.3151345371428572,1.7545289142857143,3.428704738461539,0.0,0.0,0.0,70326.94370329673,45000
8.75,0.0,1.6741758241758242,0.0,1.4076781714285715,0.32996439771428565,1.7376425691428572,3.4118183933186814,0.0,0.0,0.0,72269.35584798537,45000
